sessionId,userId,itemId,action,timeframe,eventdate,userID
48,2,24764,click,8863,4/9/2016,2
48,2,24764,click,496381,4/9/2016,2
48,2,24764,click,265216,4/9/2016,2
48,2,24764,click,519975,4/9/2016,2
48,2,24764,click,456437,4/9/2016,2
60,3,22128,click,22704,5/9/2016,3
60,3,22128,click,71762,5/9/2016,3
104,4,10691,click,271471,3/21/2016,4
104,4,10691,click,633495,3/21/2016,4
104,4,10691,click,611739,3/21/2016,4
104,4,10858,click,381182,3/21/2016,4
104,4,33404,click,297300,3/21/2016,4
129,6,7837,click,3966,3/22/2016,6
156,7,21638,click,7784,5/7/2016,7
156,7,7779,click,127911,5/7/2016,7
156,7,42163,click,151220,5/7/2016,7
156,7,3299,click,681398,5/7/2016,7
156,7,68351,click,337378,5/7/2016,7
170,8,40988,click,43970,2/21/2016,8
171,9,33836,click,174207,2/21/2016,9
171,9,56241,click,48392,2/21/2016,9
171,9,56514,click,13275,2/21/2016,9
172,10,10263,click,108046,2/21/2016,10
172,10,10691,click,482575,2/21/2016,10
172,10,10858,click,416743,2/21/2016,10
172,10,47373,click,285663,2/21/2016,10
172,10,36602,click,447781,2/21/2016,10
172,10,36602,click,11634,2/21/2016,10
173,11,104616,click,16657,2/21/2016,11
174,12,35885,click,21158,2/21/2016,12
174,12,35885,click,65703,2/21/2016,12
174,12,30947,click,70695,2/21/2016,12
193,13,59,click,60292,1/19/2016,13
196,14,10674,click,197888,2/5/2016,14
196,14,30792,click,8994,2/5/2016,14
196,14,6913,click,72296,2/5/2016,14
196,14,6913,click,26460,2/5/2016,14
197,15,33655,click,35708,2/6/2016,15
197,15,489123,click,11353,2/6/2016,15
197,15,24194,click,3214,2/6/2016,15
217,16,72130,click,610516,2/5/2016,16
217,16,113372,click,397999,2/5/2016,16
217,16,83401,click,443309,2/5/2016,16
217,16,83401,click,348099,2/5/2016,16
217,16,170172,click,298633,2/5/2016,16
217,16,170172,click,225271,2/5/2016,16
217,16,170172,click,78466,2/5/2016,16
217,16,98333,click,47792,2/5/2016,16
217,16,33240,click,241424,2/5/2016,16
217,16,42933,click,176600,2/5/2016,16
217,16,66031,click,870730,2/5/2016,16
217,16,76811,click,712586,2/5/2016,16
217,16,87476,click,453373,2/5/2016,16
217,16,87476,click,316197,2/5/2016,16
217,16,194264,click,1101330,2/5/2016,16
219,18,12319,click,15650,2/5/2016,18
219,18,8158,click,24104,2/5/2016,18
224,20,13043,click,295665,2/6/2016,20
224,20,5582,click,256366,2/6/2016,20
224,20,35981,click,187772,2/6/2016,20
224,20,6308,click,209357,2/6/2016,20
224,20,36272,click,1062055,2/6/2016,20
224,20,36272,click,831529,2/6/2016,20
224,20,13931,click,169148,2/6/2016,20
227,23,35981,click,50240,3/4/2016,23
228,24,36738,click,147746,3/4/2016,24
228,24,69350,click,143493,3/4/2016,24
228,24,69350,click,77706,3/4/2016,24
228,24,69350,click,16543,3/4/2016,24
229,25,5825,click,31485,3/4/2016,25
229,25,68590,click,21027,3/4/2016,25
230,26,58998,click,20011,3/4/2016,26
230,26,4076,click,150347,3/4/2016,26
230,26,4076,click,79984,3/4/2016,26
230,26,23761,click,53116,3/4/2016,26
230,26,78103,click,201335,3/4/2016,26
231,27,51760,click,467581,3/4/2016,27
231,27,51760,click,156650,3/4/2016,27
231,27,52423,click,522899,3/4/2016,27
231,27,52423,click,76998,3/4/2016,27
231,27,52423,click,48501,3/4/2016,27
231,27,22861,click,556629,3/4/2016,27
231,27,33530,click,416662,3/4/2016,27
231,27,33530,click,445508,3/4/2016,27
232,28,74933,click,24960,3/4/2016,28
232,28,74933,click,323643,3/4/2016,28
232,28,64599,click,299092,3/4/2016,28
232,28,13189,click,63600,3/4/2016,28
232,28,13189,click,87624,3/4/2016,28
232,28,13189,click,132310,3/4/2016,28
232,28,13189,click,338320,3/4/2016,28
233,29,11017,click,214750,3/4/2016,29
233,29,7544,click,465289,3/4/2016,29
233,29,7545,click,107207,3/4/2016,29
233,29,34592,click,681517,3/4/2016,29
233,29,12145,click,422969,3/4/2016,29
234,30,88887,click,48915,3/4/2016,30
234,30,13749,click,108812,3/4/2016,30
236,32,95117,click,881408,2/6/2016,32
236,32,8756,click,240802,2/6/2016,32
236,32,8756,click,357311,2/6/2016,32
236,32,8756,click,261567,2/6/2016,32
236,32,8756,click,50550,2/6/2016,32
236,32,82691,click,693492,2/6/2016,32
236,32,82691,click,204903,2/6/2016,32
236,32,1329,click,735294,2/6/2016,32
236,32,42605,click,331430,2/6/2016,32
236,32,17450,click,900926,2/6/2016,32
236,32,34093,click,847609,2/6/2016,32
236,32,34093,click,286797,2/6/2016,32
236,32,34093,click,153922,2/6/2016,32
236,32,28367,click,990534,2/6/2016,32
239,33,10193,click,526437,2/6/2016,33
239,33,11385,click,418197,2/6/2016,33
239,33,34192,click,167390,2/6/2016,33
239,33,34192,click,436928,2/6/2016,33
239,33,34192,click,451318,2/6/2016,33
239,33,34192,click,478290,2/6/2016,33
239,33,135915,click,552067,2/6/2016,33
239,33,135915,click,548008,2/6/2016,33
239,33,128613,click,341796,2/6/2016,33
239,33,47363,click,739971,2/6/2016,33
239,33,47363,click,538585,2/6/2016,33
239,33,47363,click,73648,2/6/2016,33
239,33,431155,click,25961,2/6/2016,33
248,35,13326,click,561973,3/4/2016,35
248,35,13326,click,681518,3/4/2016,35
248,35,13326,click,68157,3/4/2016,35
248,35,13558,click,577759,3/4/2016,35
248,35,13595,click,708524,3/4/2016,35
249,36,50551,click,127883,3/5/2016,36
